,,,UTM A GEODÉSICA / GEODÉSICA A UTM,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Universal Transversal Mercator (UTM),,,,,,,,,
,,WGS84,,,,,,,,,
,,,,,,,,,,,
HEMISFERIO,NORTE,,,,,,HEMISFERIO,SUR,,,
,,,,,,,,,,,
,SRC,EPSG,,,,,,SRC,EPSG,,
,WGS84 / UTM zone 01N,32601,,,,,,WGS84 / UTM zone 01S,32701,,
,WGS84 / UTM zone 02N,32602,,,,,,WGS84 / UTM zone 02S,32702,,
,WGS84 / UTM zone 03N,32603,,,,,,WGS84 / UTM zone 03S,32703,,
,WGS84 / UTM zone 04N,32604,,,,,,WGS84 / UTM zone 04S,32704,,
,WGS84 / UTM zone 05N,32605,,,,,,WGS84 / UTM zone 05S,32705,,
,WGS84 / UTM zone 06N,32606,,,,,,WGS84 / UTM zone 06S,32706,,
,WGS84 / UTM zone 07N,32607,,,,,,WGS84 / UTM zone 07S,32707,,
,WGS84 / UTM zone 08N,32608,,,,,,WGS84 / UTM zone 08S,32708,,
,WGS84 / UTM zone 09N,32609,,,,,,WGS84 / UTM zone 09S,32709,,
,WGS84 / UTM zone 10N,32610,,,,,,WGS84 / UTM zone 10S,32710,,
,WGS84 / UTM zone 11N,32611,,,,,,WGS84 / UTM zone 11S,32711,,
,WGS84 / UTM zone 12N,32612,,,,,,WGS84 / UTM zone 12S,32712,,
,WGS84 / UTM zone 13N,32613,,,,,,WGS84 / UTM zone 13S,32713,,
,WGS84 / UTM zone 14N,32614,,,,,,WGS84 / UTM zone 14S,32714,,
,WGS84 / UTM zone 15N,32615,,,,,,WGS84 / UTM zone 15S,32715,,
,WGS84 / UTM zone 16N,32616,,,,,,WGS84 / UTM zone 16S,32716,,
,WGS84 / UTM zone 17N,32617,,,,,,WGS84 / UTM zone 17S,32717,,
,WGS84 / UTM zone 18N,32618,,,,,,WGS84 / UTM zone 18S,32718,,
,WGS84 / UTM zone 19N,32619,,,,,,WGS84 / UTM zone 19S,32719,,
,WGS84 / UTM zone20N,32620,,,,,,WGS84 / UTM zone 20S,32720,,
,WGS84 / UTM zone 21N,32621,,,,,,WGS84 / UTM zone 21S,32721,,
,WGS84 / UTM zone 22N,32622,,,,,,WGS84 / UTM zone 22S,32722,,
,WGS84 / UTM zone 23N,32623,,,,,,WGS84 / UTM zone 23S,32723,,
,WGS84 / UTM zone 24N,32624,,,,,,WGS84 / UTM zone 24S,32724,,
,WGS84 / UTM zone 25N,32625,,,,,,WGS84 / UTM zone 25S,32725,,
,WGS84 / UTM zone 26N,32626,,,,,,WGS84 / UTM zone 26S,32726,,
,WGS84 / UTM zone 27N,32627,,,,,,WGS84 / UTM zone 27S,32727,,
,WGS84 / UTM zone 28N,32628,,,,,,WGS84 / UTM zone 28S,32728,,
,WGS84 / UTM zone 29N,32629,,,,,,WGS84 / UTM zone 29S,32729,,
,WGS84 / UTM zone 30N,32630,,,,,,WGS84 / UTM zone 30S,32730,,
,WGS84 / UTM zone 31N,32631,,,,,,WGS84 / UTM zone 31S,32731,,
,WGS84 / UTM zone 32N,32632,,,,,,WGS84 / UTM zone 32S,32732,,
,WGS84 / UTM zone 33N,32633,,,,,,WGS84 / UTM zone 33S,32733,,
,WGS84 / UTM zone 34N,32634,,,,,,WGS84 / UTM zone 34S,32734,,
,WGS84 / UTM zone 35N,32635,,,,,,WGS84 / UTM zone 35S,32735,,
,WGS84 / UTM zone 36N,32636,,,,,,WGS84 / UTM zone 36S,32736,,
