PUNTO,ESTE,NORTE,h
1,362251.6394,8306370.678,4196
2,362751.6394,8306370.678,4330
3,363251.6394,8306370.678,4407
4,363751.6394,8306370.678,4273
5,364251.6394,8306370.678,4184
6,364751.6394,8306370.678,4110
7,365251.6394,8306370.678,4050
8,365751.6394,8306370.678,4084
9,366251.6394,8306370.678,3898
10,366751.6394,8306370.678,3860
11,367251.6394,8306370.678,3956
12,367751.6394,8306370.678,3857
13,368251.6394,8306370.678,3844
14,368751.6394,8306370.678,3839
15,369251.6394,8306370.678,3843
16,369751.6394,8306370.678,3839
17,370251.6394,8306370.678,3837
18,370751.6394,8306370.678,3839
19,371251.6394,8306370.678,3835
20,371751.6394,8306370.678,3837
21,372251.6394,8306370.678,3841
22,372751.6394,8306370.678,3836
23,373251.6394,8306370.678,3838
24,373751.6394,8306370.678,3836
25,374251.6394,8306370.678,3839
26,374751.6394,8306370.678,3834
27,375251.6394,8306370.678,3835
28,375751.6394,8306370.678,3833
29,376251.6394,8306370.678,3832
30,376751.6394,8306370.678,3833
31,377251.6394,8306370.678,3837
32,377751.6394,8306370.678,3829
33,378251.6394,8306370.678,3831
34,378751.6394,8306370.678,3827
35,379251.6394,8306370.678,3829
36,379751.6394,8306370.678,3831
37,380251.6394,8306370.678,3838
38,380751.6394,8306370.678,3830
39,381251.6394,8306370.678,3832
40,381751.6394,8306370.678,3841
41,382251.6394,8306370.678,3838
42,382751.6394,8306370.678,3833
43,383251.6394,8306370.678,3837
44,383751.6394,8306370.678,3837
45,384251.6394,8306370.678,3836
46,384751.6394,8306370.678,3839
47,385251.6394,8306370.678,3911
48,385751.6394,8306370.678,3844
49,386251.6394,8306370.678,3827
50,386751.6394,8306370.678,3830
51,387251.6394,8306370.678,3823
52,387751.6394,8306370.678,3824
53,388251.6394,8306370.678,3825
54,388751.6394,8306370.678,3826
55,389251.6394,8306370.678,3841
56,389751.6394,8306370.678,3883
57,390251.6394,8306370.678,3927
